,intercept,t-stat,avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
COGS_To_Sales,-0.001561693,-1.518589981,0.252469001,0.287710717,0.285072119,-6.68343E-05,0.004561735,-0.177361363,19.2117289,0.062316026,-0.011377737
Quick_Ratio_Growth,-0.001586965,-1.523324943,-0.229998626,0.286548259,0.285072119,-0.000258262,0.002411603,-1.30514718,19.3721215,0.058769292,-0.083725231
Share_Turnover,-0.002486636,-1.536705127,-0.471589301,0.291506471,0.285072119,-0.000464197,0.006338232,-0.770963101,14.24091461,0.060836242,-0.049457306
Noncurrent_Operating_Liabilities_Change,-0.00154919,-1.537410252,0.161299913,0.28582405,0.285072119,0.000332741,0.002534307,1.583049335,18.78314652,0.059277552,0.101552662
Retained_Earnings_To_Assets,-0.001985205,-1.539504814,0.047285745,0.2928157,0.285072119,9.70568E-05,0.006752599,0.165484014,17.07579353,0.060892553,0.010615804
Dollar_Trading_Volume,-0.002425043,-1.572043363,0.073306727,0.292193477,0.285072119,-0.000221139,0.011812432,-0.204051537,15.24363694,0.060181544,-0.013089912
Composite_Debt_Issuance,-0.001708325,-1.573608414,0.020319819,0.286868018,0.285072119,-4.22726E-06,0.002842824,-0.017421297,17.76040652,0.076814046,-0.001117577
Current_Ratio_Growth_1Y,-0.00169484,-1.623746549,-0.249785503,0.287112225,0.285072119,-0.000352519,0.002484498,-1.737878432,19.48693259,0.05913684,-0.111484953
Fixed_Assets_Turnover,-0.001779575,-1.62562211,0.272435824,0.287972227,0.285072119,0.000127709,0.003529379,0.432162755,18.56735528,0.06128479,0.027723254
Net_Income_Growth_1Y,-0.001821165,-1.677742764,0.13709479,0.28793123,0.285072119,-0.000115934,0.002985444,-0.447845125,17.12524014,0.059389338,-0.028729278
Percent_Accruals,-0.001643481,-1.698589523,-0.103733754,0.287195412,0.285072119,-0.000325701,0.002470375,-1.573425839,18.32577533,0.059754183,-0.100935315
EV_To_EBIT,-0.002414941,-1.713721607,0.001930665,0.289450704,0.285072119,-0.000266657,0.005907171,-0.533570215,18.10503266,0.086383376,-0.034228545
Asset_Illiquidity_2,-0.002236254,-1.716093805,0.378326819,0.288831589,0.285072119,-0.000808987,0.005922868,-1.580250293,17.06884175,0.059685994,-0.101373104
Long_Term_Debt_Change,-0.001343599,-1.724622955,0.119010917,0.286783258,0.285072119,0.000328288,0.002498935,1.529673785,17.32527663,0.059424846,0.098128619
Working_Capital_Accruals,-0.002063343,-1.734384982,0.052874111,0.285852466,0.285072119,-5.74984E-05,0.003334499,-0.207535443,18.9339436,0.059444235,-0.013313405
Asset_Illiquidity_3,-0.002291799,-1.777907007,0.325355565,0.288999702,0.285072119,-0.000839994,0.005329064,-1.867744333,17.93382564,0.059460379,-0.119815855
Long_Term_NOA_Change_0,-0.001410226,-1.787341453,-0.08500439,0.288322167,0.285072119,0.000238651,0.001999921,1.417552213,18.16764443,0.058458014,0.090936017
Sales_Growth_Volatility_5Y,-0.002147781,-1.789174161,-0.181466711,0.292774015,0.285072119,-0.000617902,0.004562983,-1.60481455,18.01747642,0.075361999,-0.102948901
Sales_Growth_Volatility_3Y,-0.002067805,-1.836061165,-0.150980937,0.291853236,0.285072119,-0.000666956,0.004534104,-1.722026281,17.48583217,0.071623431,-0.110468037
Altman_Zscore,-0.002674517,-1.883340911,0.078077643,0.288627793,0.285072119,-0.000232022,0.005400194,-0.494149662,17.01931255,0.058777519,-0.031699716
Net_External_Finance,-0.002030264,-1.888767894,-0.238174402,0.291240175,0.285072119,-0.000511936,0.004518557,-1.275041577,16.15180063,0.059880735,-0.081793955
INV_Signal,-0.002121197,-1.930360466,-0.079774342,0.285667164,0.285072119,-5.93572E-05,0.002685081,-0.259103497,17.77225974,0.06717024,-0.016621497
Employee_Growth,-0.001905191,-1.958323173,0.008132961,0.286982448,0.285072119,0.000113278,0.003463037,0.397372697,19.36982475,0.060426057,0.02549147
Assets_Growth_5Y,-0.001906897,-1.985832757,-0.303893318,0.286341279,0.285072119,-0.000446912,0.003921952,-1.353528854,18.17915194,0.067142571,-0.086828916
Earnings_Surprise_1,-0.001836916,-2.010738924,-0.337691487,0.286402309,0.285072119,8.09524E-05,0.002353727,0.384416685,16.02453875,0.062548819,0.024660342
Standardized_Unexpected_Earnings,-0.001836916,-2.010738924,-0.337691487,0.286402309,0.285072119,8.09524E-05,0.002353727,0.384416685,16.02453875,0.062548819,0.024660342
Depreciation_Ratio_Net_Growth,-0.001917815,-2.028874903,0.047654893,0.286126437,0.285072119,3.60691E-05,0.002637737,0.168596405,20.14639228,0.059054861,0.010815464
Asset_Illiquidity_EV,-0.002420684,-2.073112094,-0.019696016,0.287665095,0.285072119,-0.000483384,0.005479864,-1.010154415,16.8018555,0.061306264,-0.064801436
ROA_Growth_1Y,-0.002179027,-2.091227859,-0.000994997,0.287730325,0.285072119,-0.000351694,0.002994864,-1.332826948,16.42990702,0.059463951,-0.085500889
ETR_Signal,-0.001954739,-2.156798419,0.067099398,0.28587425,0.285072119,-0.000112374,0.002285078,-0.583046103,18.23026387,0.105816939,-0.037402425
Inventory_Change,-0.002163811,-2.167091573,-0.003611534,0.286696866,0.285072119,-0.000104517,0.002554417,-0.480662998,17.85175065,0.059088388,-0.030834546
Composite_Equity_Issuance,-0.002405847,-2.18755242,-0.227077671,0.289835549,0.285072119,-0.001042266,0.005101367,-2.370672092,16.9417994,0.068333961,-0.152078686
Return_On_Net_Operating_Assets,-0.002910079,-2.188579683,0.433483123,0.289836278,0.285072119,0.000255881,0.003398865,0.885752565,17.86803543,0.059545158,0.056821054
Depreciation_Ratio_Gross_Growth,-0.002167952,-2.192224263,0.199378085,0.285550532,0.285072119,-0.000155309,0.002483718,-0.779779081,20.71067611,0.059311183,-0.050022851
Size,-0.004720839,-2.206919976,0.068426044,0.293438759,0.285072119,0.000191563,0.00810152,0.286834366,19.30701769,0.059955256,0.018400433
EV_To_Sales,-0.002779288,-2.255490052,-0.192870766,0.2881931,0.285072119,-0.001128196,0.006561712,-2.115192304,19.55940734,0.064596355,-0.13568965
Outstanding_Shares_Log_Change_5Y,-0.00250616,-2.256115712,-0.111545889,0.290814011,0.285072119,-,-,-,-,-,-
AR_Signal,-0.002229487,-2.304727777,-0.098728436,0.287011764,0.285072119,-0.000580946,0.002623256,-2.671348086,18.38246646,0.065197704,-0.17136706
Current_Ratio_Growth_5Y,-0.003021054,-2.308868271,-0.249456422,0.287605068,0.285072119,-0.000711921,0.003176277,-2.622038062,17.1532089,0.067317804,-0.16820382
Net_Debt_To_Price,-0.002850108,-2.334583706,0.041172423,0.288524092,0.285072119,-0.001157292,0.005875529,-2.105131931,14.43530116,0.058236597,-0.135044276
Capital_Expenditures_Growth_1Y,-0.002437845,-2.415841357,-0.088339322,0.285444049,0.285072119,-0.000829334,0.003054366,-3.286642064,18.21702597,0.060266725,-0.210838187
Residual_Momentum_12_1,-0.004164146,-2.447811964,-0.225152421,0.285973109,0.285072119,-0.001867658,0.006174046,-3.544763447,16.79819489,0.061170672,-0.227396681
Earnings_Growth_1Y,-0.002771612,-2.503846489,0.180961041,0.28831134,0.285072119,-0.000172248,0.003002152,-0.666011892,17.35630343,0.059367117,-0.042724683
CMA,-0.002520789,-2.618025605,0.000684497,0.285981817,0.285072119,-0.000536783,0.002228186,-2.67232706,15.33869468,0.058947725,-0.171429861
Assets_Growth_1Y,-0.002520795,-2.618032542,0.000684671,0.285981818,0.285072119,0.052252296,0.05501832,0.989694356,1.042313065,0.058949995,0.063488923
Earnings_Volatility_5Y,-0.002546863,-2.672353429,-0.094571615,0.288039498,0.285072119,0.000599792,0.006172212,1.110353716,16.70598537,0.069730757,0.071229224
Operating_Income_To_Sales,-0.002979309,-2.707648761,-0.036853187,0.288380401,0.285072119,-0.000758358,0.004626501,-2.058584394,20.69199376,0.084907857,-0.13205825
Sales_Growth_1Y,-0.002811438,-2.717057991,-0.241158283,0.286317725,0.285072119,-0.000509697,0.004260775,-1.41558143,18.00423685,0.062427579,-0.090809591
Net_Noncash_Working_Capital_Change,-0.00330869,-2.905511998,-0.053260427,0.285787081,0.285072119,-6.83857E-05,0.003214953,-0.262576493,20.20663972,0.059351313,-0.01684429
Earnings_Volatility_3Y,-0.002691072,-2.911471639,-0.063953178,0.287391001,0.285072119,0.000546535,0.005325127,1.20155854,17.61134788,0.065013406,0.077080016
Sales_To_Employees_Growth,-0.002819121,-2.985445689,-0.186558492,0.287139071,0.285072119,-0.000570122,0.002988048,-2.311036075,18.72888953,0.063219637,-0.148253033
Cash_To_Assets_Change,-0.002724669,-2.987329295,-0.176937849,0.286461252,0.285072119,-0.000303436,0.002219673,-1.624101004,18.11744167,0.059271127,-0.104186128
Sales_To_Inventory_Growth,-0.003115905,-3.02798882,0.007183671,0.286118917,0.285072119,-0.000347239,0.002952989,-1.390394374,17.97745346,0.065969711,-0.089193841
Net_Operating_Assets,-0.003451918,-3.30869365,0.169952522,0.290360567,0.285072119,-0.001323712,0.004224928,-3.959278342,19.79988223,0.058325274,-0.253987824
Net_Noncurrent_Operating_Assets_Change,-0.003722549,-3.324711612,0.028434947,0.285986476,0.285072119,-0.000587735,0.00377113,-1.837331308,17.73328829,0.057978737,-0.117864858
Noncurrent_Operating_Assets_Change,-0.004020663,-3.540296896,0.031072453,0.285825074,0.285072119,-0.000261912,0.004118619,-0.76934733,19.12615912,0.05799368,-0.049353654
Percent_Operating_Accruals,-0.003137991,-3.604906077,-0.119894428,0.287197594,0.285072119,-0.000327493,0.002707265,-1.482314964,19.59361218,0.059371322,-0.095090549
Short_Term_Investments_Change,-0.003295001,-3.67379593,-0.418339549,0.287494542,0.285072119,0.000134496,0.001892381,0.85339802,18.7600055,0.058752198,0.054745509
Common_Equity_Change,-0.003671493,-3.742214846,-0.123800904,0.286360093,0.285072119,-0.001027882,0.004561632,-2.527084441,15.72427325,0.059745382,-0.162112542
Shareholder_Equity_Change,-0.003882239,-3.992492683,-0.121488541,0.286274292,0.285072119,-0.001048621,0.004582175,-2.563622903,15.67684163,0.059799464,-0.164456486
Total_Accruals,-0.00561362,-4.703068243,-0.003859899,0.286583915,0.285072119,-0.000799779,0.00350347,-2.791654351,18.94548582,0.057607421,-0.17908471
Dollar_Trading_Volume_Volatility_1Y,-0.00810836,-7.341519867,-0.055302581,0.290660521,0.285072119,-0.005259604,0.010698955,-5.95414426,16.44841992,0.06299485,-0.381958532
Dollar_Trading_Volume_Volatility_3Y,-0.007728649,-7.888040473,-0.052244649,0.28928374,0.285072119,-0.004732462,0.010998168,-5.151626935,16.61289673,0.068462424,-0.330477022
Dollar_Trading_Volume_Volatility_5Y,-0.007718999,-8.164037166,-0.249978149,0.288591659,0.285072119,-0.004382045,0.010576424,-4.980462617,16.87492463,0.071714301,-0.319496826
