,intercept,t-stat(5y),avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
Total_Accruals,-0.006875113,-2.542034917,-0.029685983,0.327687012,0.32341841,-0.000552671,0.003742642,-0.905500256,9.505257949,0.062045646,-0.114082309
EBIT_To_Assets,-0.002676107,-0.768353113,0.005593059,0.334505547,0.32341841,-0.000567157,0.009735581,-0.330059614,8.075634143,0.065285982,-0.041583603
Outstanding_Shares_Log_Change_5Y,-0.003014159,-1.087481612,-0.001493435,0.334900223,0.32341841,-0.000570384,0.00583146,-0.593032041,9.332244371,0.074815681,-0.074715014
Inventory_Growth,-0.00154231,-0.598418438,0.016508112,0.327799643,0.32341841,-0.000583777,0.003113174,-1.017774724,7.32631021,0.070959618,-0.128227562
Net_Income_Margin,-0.002409307,-0.700819154,0.084799187,0.330835479,0.32341841,-0.000584414,0.006351704,-0.48965179,7.148262372,0.068632115,-0.061690327
Market_Value_Growth_3Y,-0.004902036,-1.706216931,-0.041107093,0.326374595,0.32341841,-0.000590445,0.008226111,-0.401028114,7.846225359,0.0706755,-0.050524793
Operating_Income_To_Sales,-0.002225607,-0.752217559,0.138233556,0.328055236,0.32341841,-0.000591019,0.004170735,-0.939845218,11.80221001,0.099205996,-0.118409367
RnD_To_Sale,-0.001582138,-0.446134611,-0.17043911,0.326902306,0.32341841,-0.0006152,0.011759464,-0.309256997,8.843305182,0.056231654,-0.038962719
RnD_To_Sales,-0.001582138,-0.446134611,-0.17043911,0.326902306,0.32341841,-0.0006152,0.011759464,-0.309256997,8.843305182,0.056231654,-0.038962719
Earnings_Growth_1Y,-0.004902062,-1.811035212,-0.073575584,0.329724181,0.32341841,-0.000625577,0.003078122,-1.225760151,9.026651762,0.063458568,-0.154431263
Sales_To_Cash,-0.000424301,-0.173214572,0.34103632,0.331320973,0.32341841,-0.000626632,0.004134184,-0.934371234,9.619433988,0.067334692,-0.11771971
Net_Income_Growth_1Y,-0.003921317,-1.538238751,-0.073403826,0.32976982,0.32341841,-0.000635758,0.003114913,-1.259704661,9.517469732,0.063463402,-0.158707869
ROE,0.000309465,0.147643062,-0.11739244,0.332098086,0.32341841,-0.000683118,0.007013643,-0.528360007,7.400464627,0.063786732,-0.066567104
Percent_Operating_Accruals,-0.005004326,-3.393427658,-0.053291291,0.324924591,0.32341841,-0.000712615,0.002702515,-1.721902379,10.73259859,0.063484378,-0.216939308
Net_Cashflow_To_Price,0.002671976,0.686119688,0.03296795,0.32766404,0.32341841,-0.000736697,0.007105956,-0.649722258,10.12289042,0.064445092,-0.08185731
ROA_Growth_1Y,-0.004910547,-2.213953846,-0.122697403,0.326771791,0.32341841,-0.00073866,0.003114326,-1.467235354,9.469744228,0.06356983,-0.184854279
EBITDA_Margin,-0.002438026,-0.692010882,0.015983627,0.330085683,0.32341841,-0.000758921,0.006896229,-0.661460027,9.12908624,0.068523901,-0.08333613
OIBDP_Margin,-0.002438026,-0.692010882,0.015983627,0.330085683,0.32341841,-0.000758932,0.006896223,-0.661469718,9.129083143,0.068523897,-0.083337351
GM_Signal,0.00044771,0.168277992,-0.077770521,0.325404314,0.32341841,-0.000759095,0.003292303,-1.453598587,9.935426795,0.077915319,-0.183136208
Assets_To_Employees,0.000880798,0.401446766,-0.148463574,0.32594566,0.32341841,-0.000768404,0.005983629,-0.85890415,12.17792839,0.063372544,-0.108211752
Depreciation_Ratio_Gross_Growth,-0.003949389,-1.747324697,0.130757404,0.326348693,0.32341841,-0.000773051,0.00272513,-1.864157571,10.80781095,0.064280358,-0.234861778
Payout_Ratio,0.000765857,0.357142059,-0.001841334,0.3302079,0.32341841,-0.000775856,0.003096841,-1.534851471,9.21872017,0.062947518,-0.193373109
Sector_Neutral_Growth,0.000701098,0.287153238,-0.010159673,0.325326738,0.32341841,-0.00078828,0.002996465,-1.523290401,8.151321471,0.074752478,-0.191916551
AR_Signal,-0.004395443,-2.149312216,0.116568037,0.326705862,0.32341841,-0.000800684,0.00302404,-1.642969971,9.444591517,0.07270921,-0.20699476
Piotroski_Fscore,0.002339423,0.727783755,-0.005663201,0.333352327,0.32341841,-0.000819329,0.004292215,-1.083480332,7.969545705,0.063775646,-0.136505691
Depreciation_Ratio_Net,-0.003283032,-1.851625789,0.219458819,0.326222448,0.32341841,-0.000841628,0.003288392,-1.656817947,10.52359087,0.063210995,-0.208739441
Total_Assets,0.007333748,1.698385476,-0.02387436,0.330427799,0.32341841,-0.00084337,0.007093778,-0.655576787,7.616283104,0.062698008,-0.082594912
Dividend_Coverage,-0.002386791,-0.889494885,-0.068835431,0.324650418,0.32341841,-0.000869309,0.004125046,-1.115107824,6.97623177,0.124327808,-0.14049038
Preferred_Dividend_Coverage,-0.001461574,-0.220157858,0.072905076,0.33156171,0.32341841,-0.000951188,0.006756762,-0.81858526,8.446500095,0.050061177,-0.103132049
Sales_To_Employees_Growth,-0.005129018,-2.443204854,-0.059725377,0.325180173,0.32341841,-0.00098532,0.003621281,-1.675045571,9.249621997,0.069719128,-0.211035906
Number_Of_Employees,-0.000183145,-0.048937695,-0.128765094,0.332433516,0.32341841,-0.000992296,0.006723544,-0.911347466,9.668323994,0.06381971,-0.114818988
Cash_To_Assets_Change,-0.003968191,-1.771783387,-0.183890034,0.325578466,0.32341841,-0.001030657,0.002409383,-2.58814531,8.348153305,0.063299487,-0.326075659
EBIT_Margin,-0.003306023,-0.961723916,-0.009268617,0.330334532,0.32341841,-0.001151972,0.00671613,-0.964232621,7.847721415,0.068471308,-0.121481892
Operating_Income_To_Sales_0,-0.003306023,-0.961723916,-0.009268617,0.330334532,0.32341841,-0.001151972,0.00671613,-0.964232621,7.847721415,0.068471308,-0.121481892
Dollar_Trading_Volume_Volatility_5Y,-0.003483654,-2.131820433,-0.348877222,0.328852895,0.32341841,-0.001194478,0.011037691,-0.580738982,7.247603314,0.079286521,-0.073166234
Residual_Momentum_12_1,-0.004969667,-1.296178913,-0.115418671,0.324311309,0.32341841,-0.00119749,0.005933204,-1.107926256,7.462129544,0.065219692,-0.139585588
Excess_Market_Return,0.000867553,0.190602704,-0.091089074,0.327629917,0.32341841,-0.001233549,0.007201069,-0.952512828,7.684236673,0.065431293,-0.120005336
Size,-0.00086814,-0.195608102,-0.086469035,0.333594857,0.32341841,-0.001311109,0.008873817,-0.892675016,9.179173037,0.063819611,-0.112466481
Debt_To_Fixed_Assets,-0.001236719,-0.549725677,0.199479456,0.326725293,0.32341841,-0.001324708,0.00486805,-1.779916971,10.73576439,0.068959988,-0.22424846
Net_Operating_Assets,-0.003880666,-1.996986452,0.235080494,0.32764605,0.32341841,-0.001366537,0.004973769,-1.85660078,11.76494087,0.062302631,-0.233909712
Market_Value_Growth_1Y,0.000577022,0.255541848,-0.019027091,0.323549168,0.32341841,-0.00145491,0.010367113,-0.850317783,9.253394872,0.064230876,-0.107129971
Asset_Illiquidity_2,-0.001546282,-0.487059032,0.358513654,0.333735515,0.32341841,-0.001570044,0.008657917,-1.102560713,9.24480157,0.065039063,-0.138909593
EBIT_To_Invested_Capital,-0.001161557,-0.295231123,0.031500014,0.329104275,0.32341841,-0.001649337,0.007291156,-1.290636847,7.991309422,0.065983899,-0.162604959
Dollar_Trading_Volume_Volatility_3Y,-0.004927279,-2.865188237,-0.252270734,0.329495766,0.32341841,-0.001663357,0.011675484,-0.761011822,7.162043216,0.07502528,-0.095878477
Mean_Reversion,-0.001404251,-0.29679617,-0.187332367,0.329085372,0.32341841,-0.00169256,0.008083871,-1.044312997,6.322116117,0.066013985,-0.131571071
Cashflow_To_Price,-0.003797392,-1.150756771,0.076154011,0.326283256,0.32341841,-0.001759489,0.009380551,-1.095511264,8.451559254,0.064519718,-0.138021446
Asset_Illiquidity_1,-0.001551932,-0.613771457,0.443289457,0.334985677,0.32341841,-0.001808086,0.007277565,-1.549526043,9.615941571,0.063747237,-0.195221931
Common_Equity_Change,-0.004074245,-1.935059598,-0.148915701,0.327793399,0.32341841,-0.001956658,0.006308806,-1.776454465,7.872623954,0.064229477,-0.223812225
Value,-0.002215177,-0.694950154,0.238136439,0.32740148,0.32341841,-0.001992115,0.009133581,-1.412328981,10.70186863,0.065005908,-0.177936726
Shareholder_Equity_Change,-0.0048423,-2.264905706,-0.107156219,0.327745665,0.32341841,-0.002042218,0.006162039,-1.864099591,7.563626255,0.064358903,-0.234854473
Asset_Illiquidity_3,-0.002226963,-0.739595604,0.283857056,0.331882889,0.32341841,-0.002048695,0.007359287,-1.715253581,9.24589721,0.064765919,-0.216101639
Momentum_1Y,0.002172817,0.785971858,-0.069985707,0.325342217,0.32341841,-0.002155091,0.021366686,-0.616113922,9.49651046,0.064611803,-0.077623058
Sector_Neutral_Value,-0.000383531,-0.160264326,-0.041373652,0.323379939,0.32341841,-0.002164245,0.009627247,-1.483140566,11.24835219,0.066269883,-0.186858147
Earnings_To_Market_Value,-0.000443851,-0.110301074,0.028351124,0.330588001,0.32341841,-0.002167514,0.008645544,-1.499106326,8.739209547,0.066166813,-0.188869644
Dollar_Trading_Volume_Volatility_1Y,-0.00566183,-2.937396677,-0.249423796,0.329691695,0.32341841,-0.002193218,0.011840966,-0.928097703,6.388664782,0.068445644,-0.11692932
EBITDA_To_EV,-0.000998051,-0.29269898,0.008934826,0.329090244,0.32341841,-0.002628572,0.010541066,-1.641557517,11.04996356,0.069174406,-0.206816807
Cashflow_To_EV,-0.000998051,-0.29269898,0.008934826,0.329090244,0.32341841,-0.002628649,0.010541062,-1.64161277,11.05003993,0.069174379,-0.206823769
Earnings_To_Price,-0.005689457,-1.533465449,0.006853224,0.327708059,0.32341841,-0.002635233,0.009620379,-1.847400886,11.70152598,0.065303492,-0.232750634
Dividend_To_Price,-0.002421741,-0.86601395,0.136431872,0.325901421,0.32341841,-0.002672299,0.006857812,-2.427814317,9.017233938,0.144118719,-0.305875853
CFO_To_Price,-0.003277456,-1.041281911,0.00028005,0.323993126,0.32341841,-0.002795101,0.008744566,-1.770593699,7.384461465,0.065631013,-0.223073838
EBIT_To_EV,-0.00484602,-1.321560129,-0.013266062,0.331249863,0.32341841,-0.002897519,0.010584856,-1.79382502,10.78083305,0.069657377,-0.226000709
Enterprise_Book_To_Price,0.000405645,0.176711223,0.1385831,0.326712539,0.32341841,-0.005039991,0.012522616,-2.546140788,9.251095891,0.066631766,-0.320783587
